hidden_layer_1,hidden_layer_2,learning_rate,beta,epsilon_multiplier,epsilon,number_of_clusters,number_of_outliers,outlier_percentage,smallest_cluster_size,silhouette_score,davies_bouldin_index,calinski_harabasz_index,valid_model,silhouette_rank,davies_bouldin_rank,calinski_harabasz_rank,combined_rank
128,64,0.0005,0.15,0.8,0.14016569177483879,20,82,1.04338974424227,51,0.9077588319778442,0.24736976806455818,124998.28969426364,True,79.0,80.0,102.0,261.0
128,64,0.0003,0.25,1.0,0.13602691803476066,15,100,1.272426517368622,52,0.8991051912307739,0.24876766323299718,165854.88660996576,True,95.0,81.0,89.0,265.0
128,64,0.0005,0.15,0.9,0.1576864032466936,19,76,0.9670441532001526,51,0.9058956503868103,0.2575101122643673,116467.11220401053,True,81.0,86.0,103.0,270.0
256,128,0.0001,0.25,0.8,0.06533143092931326,11,41,0.521694872121135,175,0.8639898896217346,0.29362331054888136,300878.8821761088,True,119.0,117.0,37.0,273.0
128,64,0.0002,0.15,1.0,0.14657968504945007,16,113,1.4378419646265428,51,0.8920661211013794,0.2275490023444846,133866.93974239688,True,105.0,70.0,98.0,273.0
128,64,0.0005,0.15,1.0,0.17520711471854847,19,64,0.814352971115918,51,0.9043617248535156,0.268315150675338,114431.84506500988,True,83.0,91.0,104.0,278.0
256,128,0.0001,0.25,0.9,0.07349785979547742,11,33,0.41990075073164523,175,0.8634673953056335,0.2953080709873721,298332.72444699885,True,120.0,120.0,39.0,279.0
256,128,0.0008,0.15,0.8,0.22430554727782584,23,155,1.9722611019213643,51,0.9217190146446228,0.3002935210188375,86533.3938414108,True,48.0,123.0,110.0,281.0
256,128,0.0008,0.15,0.9,0.25234374068755405,23,155,1.9722611019213643,51,0.9217190146446228,0.3002935210188375,86533.3938414108,True,48.0,123.0,110.0,281.0
256,128,0.0001,0.25,1.0,0.08166428866164158,11,19,0.24176103830003814,175,0.862314760684967,0.2994295490609406,292763.1259588307,True,122.0,122.0,42.0,286.0
256,128,0.0005,0.25,0.9,0.2160660980895992,16,68,0.865250031810663,90,0.9163171052932739,0.30608984586943666,131720.52388498693,True,60.0,127.0,99.0,286.0
