hidden_1,hidden_2,learning_rate,beta,batch_size,epochs,epsilon,min_samples,clusters,outliers,outlier_percentage,silhouette,dbi,chi,cluster_error,silhouette_error,dbi_error,chi_error,matching_error
32,16,0.0002,0.001,128,50,0.45,100,5,124,1.6213389121338913,0.6454631686210632,0.5768445105684805,21347.510956790407,0.5833333333333334,0.27476048469543457,2.036023739834108,0.8460197045859855,0.9350343156122154
32,16,0.0002,0.001,128,50,0.5,10,5,2,0.02615062761506276,0.637093722820282,0.6218426322979969,20354.12426840104,0.5833333333333334,0.2841643563817057,2.2728559594631412,0.8531850352911978,0.9983846711173445
32,16,0.0002,0.001,128,50,0.5,20,5,7,0.09152719665271966,0.6330023407936096,0.6190339478583946,20530.23692050671,0.5833333333333334,0.2887614148386409,2.258073409781024,0.8519147289659187,0.9955207217297293
32,16,0.0002,0.001,128,50,0.5,30,5,12,0.15690376569037656,0.6324634552001953,0.6156032781768357,20741.027401781404,0.5833333333333334,0.2893669042694435,2.240017253562293,0.8503942903235477,0.9907779453721544
32,16,0.0002,0.001,128,50,0.5,40,5,13,0.16997907949790797,0.6379552483558655,0.61550695604963,20798.205349512416,0.5833333333333334,0.2831963501619489,2.2395102949980528,0.8499818639146512,0.9890054606019967
32,16,0.0002,0.001,128,50,0.5,50,5,20,0.2615062761506276,0.6425149440765381,0.6115487371609456,20899.864448147073,0.5833333333333334,0.27807309654321566,2.218677564004977,0.8492485935080465,0.9823331468473931
32,16,0.0002,0.001,128,50,0.5,60,5,27,0.3530334728033473,0.637479305267334,0.6084155370488824,21076.813483921862,0.5833333333333334,0.2837311176771528,2.2021870370993812,0.84797225431998,0.9793059356074619
32,16,0.0002,0.001,128,50,0.5,70,5,35,0.45763598326359833,0.6380266547203064,0.6048007371037565,21188.392050629525,0.5833333333333334,0.28311611829179056,2.1831617742302973,0.8471674344654174,0.9741946650802096
32,16,0.0002,0.001,128,50,0.5,80,5,49,0.6406903765690377,0.6454362273216248,0.5993761857781008,21490.908368514985,0.5833333333333334,0.2747907558183992,2.1546115040952674,0.8449853743606189,0.9644302419019047
32,16,0.0002,0.001,128,50,0.5,90,5,61,0.7975941422594143,0.6393614411354065,0.5953385264209161,21441.560856315962,0.5833333333333334,0.2816163582748242,2.133360665373243,0.8453413195816675,0.960912919140767
32,16,0.0002,0.001,128,50,0.5,100,5,75,0.9806485355648535,0.6412355899810791,0.590923320151586,21553.69902241403,0.5833333333333334,0.2795105730549673,2.110122737639926,0.8445324633183815,0.9543747768366521
32,16,0.0002,0.001,128,50,0.55,10,5,2,0.02615062761506276,0.637093722820282,0.6218426322979969,20354.12426840104,0.5833333333333334,0.2841643563817057,2.2728559594631412,0.8531850352911978,0.9983846711173445
32,16,0.0002,0.001,128,50,0.55,20,5,5,0.0653765690376569,0.6389563679695129,0.6202647343847871,20446.472845796827,0.5833333333333334,0.2820714966634686,2.2645512336041427,0.8525189219791002,0.9956187463950112
32,16,0.0002,0.001,128,50,0.55,30,5,7,0.09152719665271966,0.6330023407936096,0.6190339478583946,20530.23692050671,0.5833333333333334,0.2887614148386409,2.258073409781024,0.8519147289659187,0.9955207217297293
