hidden_layer_1,hidden_layer_2,learning_rate,beta,epsilon_multiplier,epsilon,number_of_clusters,number_of_outliers,outlier_percentage,smallest_cluster_size
256,128,0.0004,0.01,1.0,0.8679867360676109,1,0,0.0,7859
256,128,0.0004,0.05,0.8,0.3529744901547658,7,117,1.4887390253212875,50
256,128,0.0004,0.05,0.9,0.3970963014241115,6,27,0.34355515968952793,51
256,128,0.0004,0.05,1.0,0.44121811269345723,3,26,0.3308308945158417,51
256,128,0.0004,0.1,0.8,0.12579568115420817,27,212,2.6975442168214783,55
256,128,0.0004,0.1,0.9,0.1415201412984842,27,140,1.781397124316071,55
256,128,0.0004,0.1,1.0,0.1572446014427602,22,110,1.3996691691054841,55
256,128,0.0004,0.15,0.8,0.15590950044728935,23,176,2.239470670568775,51
256,128,0.0004,0.15,0.9,0.17539818800320053,22,119,1.5141875556686601,47
256,128,0.0004,0.15,1.0,0.1948868755591117,21,102,1.2978750477159944,98
256,128,0.0004,0.2,0.8,0.15347004470479245,20,88,1.1197353352843875,58
256,128,0.0004,0.2,0.9,0.1726538002928915,20,35,0.4453492810790177,59
256,128,0.0004,0.2,1.0,0.19183755588099055,17,0,0.0,150
256,128,0.0004,0.25,0.8,0.05038929199684614,22,294,3.7409339610637486,51
256,128,0.0004,0.25,0.9,0.056687953496451914,21,241,3.066547906858379,51
256,128,0.0004,0.25,1.0,0.06298661499605768,21,229,2.9138567247741443,51
256,128,0.0005,0.01,0.8,0.5405392104199919,1,65,0.8270772362896042,7794
