hidden_layer_1,hidden_layer_2,learning_rate,beta,epsilon_multiplier,epsilon,silhouette_score,davies_bouldin_index,calinski_harabasz_index
128,64,0.0008,0.01,0.9,0.5017502105104863,,,
128,64,0.0008,0.01,1.0,0.5575002339005403,,,
128,64,0.0008,0.05,0.8,0.346254349476021,0.32302141189575195,0.6698930858122975,2131.0001683806427
128,64,0.0008,0.05,0.9,0.3895361431605236,0.08980071544647217,0.6918127620318196,759.2753749803695
128,64,0.0008,0.05,1.0,0.43281793684502623,0.24343520402908325,0.5371201812342011,891.9576007356231
128,64,0.0008,0.1,0.8,0.2591096766401195,0.6182623505592346,0.5534203469403833,6389.649389857173
128,64,0.0008,0.1,0.9,0.29149838622013446,0.5659659504890442,0.5736093876309222,6779.02847057699
128,64,0.0008,0.1,1.0,0.3238870958001494,0.5220419764518738,0.5222233276452586,5804.105177395772
128,64,0.0008,0.15,0.8,0.21955394849789794,0.8589407205581665,0.3623416651266982,57089.476779551966
128,64,0.0008,0.15,0.9,0.24699819206013518,0.8567225337028503,0.3743274518375329,55873.45604487771
128,64,0.0008,0.15,1.0,0.2744424356223724,0.8528271913528442,0.3944527060460252,46093.87683734935
128,64,0.0008,0.2,0.8,0.09822277888705787,0.9419991374015808,0.15707942774472852,510450.4717230596
128,64,0.0008,0.2,0.9,0.11050062624794009,0.9418632984161377,0.15851386813243917,509192.20405463484
128,64,0.0008,0.2,1.0,0.12277847360882232,0.9416764378547668,0.16045727201858362,506284.4981148224
128,64,0.0008,0.25,0.8,0.11640059719851521,0.9469493627548218,0.16275011603641132,623995.9243250876
128,64,0.0008,0.25,0.9,0.13095067184832962,0.9441409707069397,0.19466545342725555,579573.0707553333
128,64,0.0008,0.25,1.0,0.145500746498144,0.9440658688545227,0.19527369316221477,577503.6586690428
128,64,0.0009,0.01,0.8,0.4367530210079893,0.13701480627059937,0.592157079323017,509.89087159475264
128,64,0.0009,0.01,0.9,0.49134714863398793,0.34346258640289307,0.49990449935212805,768.0136171034131
128,64,0.0009,0.01,1.0,0.5459412762599866,,,
128,64,0.0009,0.05,0.8,0.27989771475083286,0.2961459457874298,0.6406312988496689,1955.4521623809471
128,64,0.0009,0.05,0.9,0.31488492909468696,0.2617450952529907,0.6177523810678627,2080.8963912295344
128,64,0.0009,0.05,1.0,0.34987214343854106,0.07017077505588531,0.6831256681234267,697.6093541204725
