perplexity,epsilon,min_samples,clusters,outliers,outlier_percentage,silhouette,dbi,chi,cluster_error,silhouette_error,dbi_error,chi_error,matching_error
20,4.5,100,12,5672,74.16317991631799,0.8045673966407776,0.2713747970915239,29892.876559462027,0.45454545454545453,0.20084686065787694,0.0854991883660956,2.4853628333846767,0.8065635842385259
20,5.0,10,40,32,0.41841004184100417,0.4556151330471039,0.374587868326471,2391.606711687746,0.8181818181818182,0.31997741336253155,0.49835147330588403,0.7211503841589535,0.5894152722522968
20,5.0,20,34,126,1.6474895397489542,0.4562184512615204,0.3692806072547225,2766.3231294614825,0.5454545454545454,0.3190769384156413,0.47712242901889,0.6774602871898737,0.5047785500197376
20,5.0,30,31,204,2.6673640167364017,0.4666597545146942,0.3780365305013602,2987.906558432773,0.4090909090909091,0.3034929037094117,0.5121461220054409,0.6516247458596763,0.46908867016635947
20,5.0,40,25,417,5.452405857740586,0.46527940034866333,0.39059587547419816,3582.509749342693,0.13636363636363635,0.3055531338079652,0.5623835018967926,0.5822969293115767,0.39664930034499274
20,5.0,50,22,578,7.557531380753138,0.49902552366256714,0.39035368536321635,4021.5237341836487,0.0,0.25518578557825805,0.5614147414528654,0.5311100512920895,0.33692764458080326
20,5.0,60,20,904,11.820083682008368,0.4345250427722931,0.4092680316603895,4701.466416639185,0.09090909090909091,0.35145516004135363,0.637072126641558,0.4518320684740635,0.3828171115165165
20,5.0,70,18,1837,24.019351464435147,0.4864270091056824,0.4422367873325068,6254.969521035655,0.18181818181818182,0.27398953864823533,0.7689471493300273,0.2707012237779779,0.3738640233936056
20,5.0,80,18,2982,38.99058577405858,0.5870819091796875,0.4457698209448121,10530.670572084011,0.18181818181818182,0.12375834450792916,0.7830792837792484,0.2278245537712113,0.3291200909691427
20,5.0,90,16,4208,55.02092050209205,0.711645245552063,0.37618962869045186,21149.68233116197,0.2727272727272727,0.062157082913526784,0.5047585147618074,1.465949256783441,0.576398031796512
20,5.0,100,12,5298,69.27301255230127,0.7801517248153687,0.2944286043003201,23914.205322857262,0.45454545454545453,0.1644055594259233,0.17771441720128034,1.7882790823566272,0.6462361283823214
20,5.5,10,40,29,0.37918410041841005,0.4414893686771393,0.3749633864877072,2392.319023259292,0.8181818181818182,0.3410606437654638,0.49985354595082887,0.7210673321223815,0.5950408350051231
20,5.5,20,34,123,1.6082635983263598,0.4583386778831482,0.36940460212594195,2767.1621780910164,0.5454545454545454,0.3159124210699281,0.4776184085037678,0.677362458233769,0.5040869583155025
20,5.5,30,31,201,2.6281380753138075,0.45907315611839294,0.37817841146688935,2988.8272312804056,0.4090909090909091,0.314816184897921,0.5127136458675574,0.6515173999199685,0.472034534944089
20,5.5,40,25,403,5.269351464435147,0.4575362205505371,0.39172898738113043,3566.739551394892,0.13636363636363635,0.31711011858128796,0.5669159495245217,0.5841356570664333,0.40113134038396986
20,5.5,50,22,541,7.073744769874477,0.4908668100833893,0.392143329870416,3982.185691388431,0.0,0.26736297002479215,0.568573319481664,0.5356966741961723,0.3429082409256571
20,5.5,60,19,734,9.597280334728033,0.5081424117088318,0.39369339978977375,4516.9375898306635,0.13636363636363635,0.24157848998681827,0.574773599159095,0.4733472248815495,0.3565157375977748
20,5.5,70,17,1061,13.872907949790795,0.44518959522247314,0.4186689364088309,5182.8576280625275,0.22727272727272727,0.33553791757839835,0.6746757456353236,0.39570421362290964,0.4082976510273397
20,5.5,80,16,1603,20.959728033472803,0.4813748896121979,0.40992053354159763,6234.083514059876,0.2727272727272727,0.28153001550418233,0.6396821341663905,0.2731364297812005,0.3667689630447615
20,5.5,90,14,2579,33.72123430962343,0.5992568135261536,0.3731226988295741,8008.00072862164,0.36363636363636365,0.10558684548335294,0.4924907953182964,0.06630638059418736,0.2570050962580501
20,5.5,100,14,3714,48.56171548117155,0.6932294964790344,0.335291828920449,11798.469929090825,0.36363636363636365,0.034670890267215496,0.34116731568179604,0.3756437424100468,0.2787795779988555
20,6.0,10,35,14,0.18305439330543932,0.4618009328842163,0.4412442666839911,2706.16541307792,0.5909090909090909,0.31074487629221453,0.7649770667359643,0.684474381949456,0.5877763539716815
20,6.0,20,31,104,1.3598326359832638,0.4768376350402832,0.4128207185216231,3041.3849935080875,0.4090909090909091,0.2883020372533087,0.6512828740864924,0.6453894225501812,0.49851631074522285
