n_neighbors,min_dist,epsilon,min_samples,clusters,outliers,outlier_percentage,silhouette,dbi,chi,cluster_error,silhouette_error,dbi_error,chi_error,matching_error
10,0.1,0.45,90,14,1049,13.71600418410042,0.8727609515190125,0.11442225902939164,63386.28971444527,0.36363636363636365,0.03900113276072915,0.27135843365990714,0.16490584577400144,0.20972544395775036
10,0.1,0.45,100,14,1055,13.794456066945607,0.8739346861839294,0.11440528556304468,63432.74910010539,0.36363636363636365,0.04039843593324938,0.27116983958938534,0.16575967094960894,0.21024107752715182
10,0.1,0.5,10,47,22,0.28765690376569036,0.8551115393638611,0.10688720727736267,26920.367218241205,1.1363636363636365,0.017989927814120375,0.18763563641514086,0.5052606283758343,0.461812457242183
10,0.1,0.5,20,34,207,2.706589958158996,0.8595749735832214,0.09920594758493656,34811.968668970054,0.5454545454545454,0.023303539980025555,0.10228830649929516,0.3602296965467764,0.2578190221201606
10,0.1,0.5,30,25,407,5.3216527196652725,0.8607607483863831,0.10879462528062814,43749.475490401885,0.13636363636363635,0.02471517665045606,0.20882916978475713,0.1959772376974886,0.1414713051240845
10,0.1,0.5,40,24,438,5.726987447698745,0.8710362315177917,0.10686211102054255,45454.293259662154,0.09090909090909091,0.036947894664037834,0.1873567891171395,0.16464629540164863,0.11996501752297922
10,0.1,0.5,50,22,522,6.82531380753138,0.8711956739425659,0.10907356452293847,48605.45979223565,0.0,0.03713770707448327,0.21192849469931635,0.1067345240810802,0.08895018146371995
10,0.1,0.5,60,19,691,9.035041841004183,0.8734771609306335,0.11025327753807997,52801.70556876763,0.13636363636363635,0.03985376301265902,0.22503641708977745,0.029616408201321078,0.10771755616684847
10,0.1,0.5,70,16,887,11.597803347280335,0.8743066191673279,0.1124330611257266,59749.84448807516,0.2727272727272727,0.04084121329443799,0.24925623473029557,0.0980756791698482,0.1652250999804636
10,0.1,0.5,80,15,962,12.578451882845187,0.8757150173187256,0.11298322000071301,61706.51627826401,0.3181818181818182,0.042517877760387644,0.2553691111190335,0.13403516531299478,0.1875259930935585
10,0.1,0.5,90,14,1049,13.71600418410042,0.8727609515190125,0.11442225902939164,63386.28971444527,0.36363636363636365,0.03900113276072915,0.27135843365990714,0.16490584577400144,0.20972544395775036
10,0.1,0.5,100,14,1049,13.71600418410042,0.8727609515190125,0.11442225902939164,63386.28971444527,0.36363636363636365,0.03900113276072915,0.27135843365990714,0.16490584577400144,0.20972544395775036
10,0.1,0.55,10,46,22,0.28765690376569036,0.8563426733016968,0.09576692613966743,27499.986182103672,1.0909090909090908,0.019455563454400963,0.06407695710741595,0.4946084586027393,0.41726251751841176
10,0.1,0.55,20,34,196,2.562761506276151,0.861817479133606,0.09992598930006914,34872.475657975294,0.5454545454545454,0.025973189444769035,0.1102887700007683,0.3591177061539024,0.2602085527634963
10,0.1,0.55,30,25,406,5.308577405857741,0.8590111136436462,0.10885483236099056,43758.14187389313,0.13636363636363635,0.022632278147197944,0.20949813734433956,0.19581796791160663,0.14107800494169512
10,0.1,0.55,40,24,437,5.713912133891213,0.8706658482551575,0.10692482672925341,45463.31709562147,0.09090909090909091,0.036506962208520836,0.1880536303250379,0.16448045639596354,0.11998753495965331
